região onde foi realizada a entrevista;idade: qual a sua idade (em anos completos)?;área;sexo;cor ou raça;última série escolar que concluiu com aprovação;até que série o seu pai estudou;até que série a sua mãe estudou;renda total do chefe da família no último mês;renda total de todos os moradores (parentes e agregados) no último mês;número de moradores no domicílio (parentes e agregados);no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli;religião;mulheres que usam roupas que mostram o corpo merecem ser atacadas;as mulatas são mais fogosas do que as mulheres brancas;dá para entender que um homem que cresceu em uma família violenta agrida sua mul;os homens devem ser a cabeça do lar;casos de violência dentro de casa devem ser discutidos somente entre os membros ;incomoda ver dois homens, ou duas mulheres, se beijando na boca em público;se as mulheres soubessem como se comportar, haveria menos estupros;homem que bate na esposa tem que ir para a cadeia;é violência falar mentiras sobre uma mulher para os outros;toda mulher sonha em se casar;o que acontece com o casal em casa não interessa aos outros;quando há violência, os casais devem se separar;casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais;dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo;um homem pode xingar e gritar com sua própria mulher;é da natureza do homem ser violento;em briga de marido e mulher, não se mete a colher;a roupa suja deve ser lavada em casa;uma mulher só se sente realizada quando tem filhos/as;a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade;piada de preto é só brincadeira, não é racismo;um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh;mulher que é agredida e continua com o parceiro gosta de apanhar;casamento de homem com homem ou de mulher com mulher deve ser proibido;a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos;a questão da violência contra as mulheres recebe mais importância do que merece;tem mulher que é pra casar, tem mulher que é pra cama
NORDESTE;41;urbano;masculino;parda;quarta série fundamental completa;não sabe;não sabe;678;678;3;2;católica;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;16;urbano;feminino;parda;segunda série médio;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1300;4;1;católica;discorda total;ns;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total
NORDESTE;59;urbano;feminino;parda;terceira série fundamental;primeira série fundamental;primeira série fundamental;678;3000;6;2;católica;concorda total;ns;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;discorda total
NORDESTE;26;urbano;feminino;parda;médio completo;analfabeto ou sem instrução;analfabeto ou sem instrução;5000;5000;5;2;evangélica;discorda total;ns;discorda total;concorda total;discorda total;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total
NORDESTE;46;urbano;feminino;parda;médio completo;quarta série fundamental incompleta;primeira série fundamental;1300;1300;4;2;espírita;discorda total;ns;concorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total
NORDESTE;67;urbano;feminino;parda;segunda série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;678;;2;2;evangélica;concorda total;ns;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;discorda total;concorda total;concorda total;concorda total;discorda total;concorda total;discorda total;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;discorda total;discorda total;concorda total
NORTE;21;urbano;feminino;parda;médio completo;terceira série fundamental;quinta série fundamental;600;600;3;2;católica;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;discorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;discorda total;discorda total;concorda parcial;concorda total
SUDESTE;41;metropolitano;feminino;preta;primeira série médio;sétima série fundamental;quarta série fundamental incompleta;950;;5;2;católica;discorda parcial;discorda parcial;concorda parcial;concorda parcial;discorda total;discorda total;neutro;concorda total;discorda total;discorda total;discorda parcial;concorda total;concorda parcial;discorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda total;discorda parcial;discorda parcial;discorda total;discorda parcial
NORDESTE;46;urbano;feminino;branca;sétima série fundamental;fundamental completa;segunda série fundamental;678;2100;3;2;católica;discorda total;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda total;concorda parcial;concorda parcial;discorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda total;discorda parcial;discorda parcial;neutro;discorda parcial;discorda parcial;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda parcial;discorda total;concorda parcial;concorda parcial
SUDESTE;66;metropolitano;masculino;parda;sétima série fundamental;analfabeto ou sem instrução;analfabeto ou sem instrução;1200;1200;2;2;espírita;discorda total;neutro;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda parcial;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;neutro;discorda total;neutro;discorda total;discorda parcial;concorda total;discorda total;discorda total;neutro
NORDESTE;53;urbano;feminino;parda;fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;678;1200;3;2;evangélica;concorda total;concorda total;discorda total;discorda total;concorda parcial;discorda parcial;concorda parcial;concorda parcial;neutro;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;discorda parcial;concorda total;discorda total;discorda parcial;concorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda total;concorda total
NORTE;46;urbano;masculino;parda;quarta série fundamental completa;analfabeto ou sem instrução;quinta série fundamental;678;678;7;1;católica;concorda parcial;ns;concorda parcial;concorda total;concorda total;concorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;neutro;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;concorda total;discorda total;neutro;concorda total
SUDESTE;36;metropolitano;feminino;branca;segunda série médio;quarta série fundamental completa;sexta série fundamental;1300;;4;2;espírita;discorda total;discorda total;discorda parcial;discorda parcial;discorda total;concorda parcial;discorda total;concorda total;discorda parcial;neutro;concorda parcial;discorda total;concorda parcial;discorda parcial;discorda total;discorda parcial;concorda total;neutro;concorda parcial;discorda total;discorda parcial;discorda parcial;discorda total;discorda total;discorda total;discorda parcial;concorda parcial
SUDESTE;57;urbano;feminino;branca;quarta série fundamental completa;analfabeto ou sem instrução;analfabeto ou sem instrução;700;700;1;2;católica;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda total;concorda parcial;discorda total;concorda total;concorda total;concorda total;discorda total;discorda total;discorda total;concorda total
SUDESTE;45;metropolitano;feminino;branca;médio completo;terceira série fundamental;quarta série fundamental completa;1500;3500;5;2;evangélica;concorda parcial;concorda parcial;discorda total;discorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda parcial;discorda total;discorda total;discorda total;neutro;discorda total;neutro;discorda total;neutro;concorda total;discorda parcial;concorda parcial;concorda parcial;discorda total;concorda parcial;discorda parcial;concorda parcial;discorda parcial;concorda total
SUDESTE;51;urbano;feminino;parda;médio completo;quarta série fundamental incompleta;primeira série fundamental;1500;4000;5;2;evangélica;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda total;concorda total;concorda parcial;neutro;concorda total;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;concorda total;neutro;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;concorda total
SUDESTE;18;metropolitano;masculino;branca;segunda série médio;segunda série médio;segunda série médio;2500;2500;2;2;católica;concorda total;concorda parcial;concorda total;discorda parcial;discorda total;concorda total;discorda total;discorda total;discorda total;concorda total;concorda parcial;concorda total;concorda parcial;concorda total;concorda parcial;concorda parcial;concorda total;concorda parcial;discorda parcial;discorda total;concorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda parcial;discorda total
SUDESTE;42;metropolitano;feminino;preta;fundamental completa;quarta série fundamental completa;quarta série fundamental completa;1300;1300;2;2;católica;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;discorda total;concorda total;concorda parcial;concorda total;discorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;discorda total;discorda total;discorda total;discorda total;discorda total;concorda total;discorda total;discorda total;discorda total
SUDESTE;23;urbano;feminino;branca;médio completo;sexta série fundamental;primeira série fundamental;1800;2500;5;2;católica;neutro;discorda parcial;concorda parcial;neutro;neutro;concorda total;discorda total;concorda parcial;concorda parcial;concorda total;neutro;discorda total;concorda parcial;discorda total;neutro;discorda total;discorda total;discorda total;concorda parcial;concorda parcial;concorda total;concorda total;neutro;concorda parcial;concorda total;neutro;neutro
NORDESTE;47;urbano;feminino;parda;sexta série fundamental;quarta série fundamental incompleta;primeira série fundamental;678;15000;2;2;católica;discorda total;discorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;discorda parcial;discorda total;discorda parcial;concorda parcial;discorda total;concorda parcial;discorda parcial;discorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;concorda parcial;discorda parcial;concorda parcial;discorda total;discorda parcial;discorda total;discorda total;discorda parcial
NORDESTE;32;urbano;masculino;preta;sexta série fundamental;quarta série fundamental incompleta;segunda série fundamental;678;678;2;2;católica;concorda parcial;discorda parcial;concorda parcial;discorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda parcial;concorda parcial;discorda parcial;discorda total;discorda parcial;concorda total;concorda parcial;discorda total;concorda parcial;discorda total;discorda total;concorda parcial;discorda total;discorda total;discorda parcial;concorda parcial;concorda parcial;discorda total;discorda total
