regiÆo onde foi realizada a entrevista	idade: qual a sua idade (em anos completos)?	 rea	sexo	cor ou ra‡a	£ltima s‚rie escolar que concluiu com aprova‡Æo	at‚ que s‚rie o seu pai estudou	at‚ que s‚rie a sua mÆe estudou	renda total do chefe da fam¡lia no £ltimo mˆs	renda total de todos os moradores (parentes e agregados) no £ltimo mˆs	n£mero de moradores no domic¡lio (parentes e agregados)	no £ltimo mˆs, alguma pessoa deste domic¡lio recebeu rendimentos do bolsa fam¡li	religiÆo	mulheres que usam roupas que mostram o corpo merecem ser atacadas	as mulatas sÆo mais fogosas do que as mulheres brancas	d  para entender que um homem que cresceu em uma fam¡lia violenta agrida sua mul	os homens devem ser a cabe‡a do lar	casos de violˆncia dentro de casa devem ser discutidos somente entre os membros 	incomoda ver dois homens, ou duas mulheres, se beijando na boca em p£blico	se as mulheres soubessem como se comportar, haveria menos estupros	homem que bate na esposa tem que ir para a cadeia	‚ violˆncia falar mentiras sobre uma mulher para os outros	toda mulher sonha em se casar	o que acontece com o casal em casa nÆo interessa aos outros	quando h  violˆncia, os casais devem se separar	casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais	d  pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo	um homem pode xingar e gritar com sua pr¢pria mulher	‚ da natureza do homem ser violento	em briga de marido e mulher, nÆo se mete a colher	a roupa suja deve ser lavada em casa	uma mulher s¢ se sente realizada quando tem filhos/as	a mulher casada deve satisfazer o marido na cama, mesmo quando nÆo tem vontade	piada de preto ‚ s¢ brincadeira, nÆo ‚ racismo	um casal de dois homens vive um amor tÆo bonito quanto entre um homem e uma mulh	mulher que ‚ agredida e continua com o parceiro gosta de apanhar	casamento de homem com homem ou de mulher com mulher deve ser proibido	a mulher que apanha em casa deve ficar quieta para nÆo prejudicar os filhos	a questÆo da violˆncia contra as mulheres recebe mais importƒncia do que merece	tem mulher que ‚ pra casar, tem mulher que ‚ pra cama
SUL	52	urbano	feminino	branca	fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo		2500		2	cat¢lica	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda parcial	concorda total	concorda parcial	discorda total	discorda total	concorda parcial	concorda total
NORDESTE	63	metropolitano	masculino	parda	segunda s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	750	750	5	2	cat¢lica	discorda total	discorda total	discorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	ns	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	concorda parcial	ns	discorda total	ns	discorda total	discorda total	concorda parcial
SUL	16	urbano	masculino	branca	primeira s‚rie m‚dio	nÆo sabe	nÆo sabe		800	4	2	cat¢lica	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda parcial	concorda total	discorda parcial	concorda total	discorda parcial	concorda parcial	concorda total
SUL	19	urbano	masculino	branca	terceira s‚rie m‚dio incompleto	s‚tima s‚rie fundamental	quarta s‚rie fundamental completa		900	5	2	evang‚lica	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda total	discorda parcial	discorda parcial	neutro	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda total	ns	concorda parcial	concorda total	neutro	concorda parcial	discorda total
SUDESTE	39	urbano	feminino	branca	m‚dio completo	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	900	1600	5	2	evang‚lica	discorda total	neutro	discorda total	concorda total	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	neutro	discorda parcial	concorda total	discorda total	discorda total	concorda total
SUDESTE	19	urbano	feminino	parda	fundamental completa	quarta s‚rie fundamental completa	segunda s‚rie fundamental	1000	1000	5	1	sem	concorda parcial	neutro	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	discorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda parcial
SUL	38	urbano	feminino	branca	cursou superior sem concluir	quarta s‚rie fundamental incompleta	quarta s‚rie fundamental incompleta	700	700	2	2	cat¢lica	concorda total	discorda total	discorda total	ns	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	discorda total	concorda total	concorda total
SUDESTE	27	urbano	feminino	branca	m‚dio completo	fundamental completa	m‚dio completo	1600	3300	5	2	cat¢lica	discorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total
SUL	48	urbano	feminino	branca	m‚dio completo	quinta s‚rie fundamental	quarta s‚rie fundamental completa	850	1000	2	2	cat¢lica	discorda total	ns	concorda total	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda parcial	discorda parcial	concorda total	concorda total	concorda total	discorda parcial	concorda total	ns	discorda total	ns	discorda total	concorda parcial	concorda total
SUDESTE	45	urbano	masculino	parda	m‚dio completo	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	1100	1100	3	2	cat¢lica	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total
SUL	38	urbano	masculino	branca	superior completo	terceira s‚rie fundamental	analfabeto ou sem instru‡Æo	1800	2500	2	2	cat¢lica	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total	discorda parcial	concorda total	concorda total	concorda total	concorda total	discorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	concorda total	ns	discorda total	concorda total	discorda total	concorda parcial	concorda total
SUL	56	urbano	feminino	branca	quinta s‚rie fundamental	nÆo sabe	nÆo sabe		1200	5	2	cat¢lica	concorda total	discorda total	discorda total	concorda parcial	discorda parcial	discorda total	ns	concorda parcial	concorda total	concorda total	discorda parcial	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda parcial	concorda total	discorda total	discorda parcial	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total
SUL	25	urbano	masculino	branca	m‚dio completo	nÆo sabe	nÆo sabe			3	2	cat¢lica	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	concorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total
SUDESTE	65	urbano	feminino	branca	quarta s‚rie fundamental incompleta	terceira s‚rie fundamental	terceira s‚rie fundamental			3	2	cat¢lica	discorda total	neutro	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	neutro	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	concorda parcial
NORDESTE	63	metropolitano	feminino	parda	s‚tima s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	950	950	3	2	cat¢lica	discorda total	ns	discorda total	concorda total	discorda parcial	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	concorda parcial	ns	discorda total	discorda parcial	discorda total	discorda parcial	concorda parcial
SUL	58	urbano	feminino	branca	sexta s‚rie fundamental	nÆo sabe	nÆo sabe		1000	5	2	cat¢lica	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda parcial	discorda total	concorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total
NORDESTE	35	metropolitano	masculino	parda	oitava s‚rie fundamental incompleta	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1800	1800	1	2	cat¢lica	discorda parcial	discorda total	discorda parcial	concorda parcial	concorda total	discorda parcial	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda parcial	discorda parcial	ns	discorda parcial	discorda parcial	discorda total	discorda parcial	concorda total
NORDESTE	48	metropolitano	masculino	parda	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1300	1300	2	2	cat¢lica	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	concorda parcial	ns	concorda total	discorda total	discorda total	discorda total	concorda parcial
SUDESTE	41	urbano	feminino	branca	m‚dio completo	fundamental completa	sexta s‚rie fundamental	1400	4900	4	2	cat¢lica	discorda total	ns	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	ns	discorda total	concorda total	discorda total	discorda total	discorda total
SUL	32	urbano	masculino	branca	s‚tima s‚rie fundamental	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	1300	1300	4	1	cat¢lica	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda parcial	concorda total	neutro	discorda total	discorda total	concorda parcial	discorda total
SUDESTE	66	urbano	masculino	parda	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	700	1200	2	2	evang‚lica	discorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total
NORDESTE	65	metropolitano	masculino	parda	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1600	1600	4	2	cat¢lica	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda total	discorda total	discorda total	ns	concorda parcial	concorda parcial	discorda total	discorda total	concorda parcial
NORDESTE	61	metropolitano	masculino	parda	fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1100	1100	4	2	cat¢lica	discorda parcial	discorda total	discorda total	concorda total	concorda total	ns	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	ns	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda parcial	ns	discorda total	ns	discorda total	discorda parcial	discorda parcial
SUDESTE	29	metropolitano	feminino	parda	m‚dio completo	nÆo sabe	nÆo sabe	678	678	3	2	evang‚lica	neutro	concorda total	discorda total	discorda total	concorda total	concorda parcial	neutro	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	neutro	concorda parcial	concorda total	concorda total	discorda total	concorda total
NORTE	23	urbano	feminino	parda	primeira s‚rie m‚dio	quinta s‚rie fundamental	oitava s‚rie fundamental incompleta	900	1002	5	1	evang‚lica	discorda total	neutro	concorda parcial	concorda total	discorda parcial	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	discorda parcial	discorda total
SUDESTE	22	metropolitano	masculino	parda	cursou superior sem concluir	cursou superior sem concluir	superior completo	678	678	4	2	evang‚lica	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	discorda total	concorda total	neutro	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	discorda total	discorda total	concorda total
SUDESTE	23	metropolitano	masculino	branca	m‚dio completo	m‚dio completo	m‚dio completo	2500	2500	5	2	sem	discorda total	concorda total	discorda parcial	discorda total	discorda total	concorda total	discorda total	discorda parcial	concorda parcial	concorda total	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda parcial	discorda total	discorda total	discorda total	neutro	concorda total	discorda total	discorda total	discorda parcial
SUDESTE	22	urbano	feminino	branca	m‚dio completo	quarta s‚rie fundamental completa	fundamental completa	1600	1600	5	2	evang‚lica	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	discorda total	concorda parcial	concorda total	discorda total	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total
SUDESTE	21	metropolitano	feminino	preta	m‚dio completo	cursou superior sem concluir	m‚dio completo	1600	1600	2	2	outras	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	neutro	discorda total	discorda total	discorda total
SUDESTE	30	metropolitano	feminino	branca	m‚dio completo	nÆo sabe	nÆo sabe	680	680	2	2	evang‚lica	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total
SUDESTE	30	metropolitano	feminino	branca	m‚dio completo	oitava s‚rie fundamental incompleta	oitava s‚rie fundamental incompleta	1300	1300	1	2	evang‚lica	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total	discorda total	discorda parcial	concorda parcial	concorda total	concorda total	neutro	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	discorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total
SUDESTE	28	metropolitano	feminino	branca	m‚dio completo	oitava s‚rie fundamental incompleta	fundamental completa	1500	1500	2	2	evang‚lica	discorda total	concorda total	neutro	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	neutro	discorda total	discorda total	discorda total	concorda total	concorda parcial	discorda total	neutro	concorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total
SUDESTE	62	urbano	feminino	parda	quinta s‚rie fundamental	segunda s‚rie fundamental	segunda s‚rie fundamental	900	900	5	2	cat¢lica	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total
SUDESTE	49	metropolitano	feminino	branca	m‚dio completo	primeira s‚rie fundamental	primeira s‚rie fundamental	680	680	4	2	cat¢lica	discorda total	discorda parcial	discorda total	discorda total	concorda total	discorda parcial	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	discorda parcial	discorda parcial	discorda parcial	concorda total
SUDESTE	41	metropolitano	feminino	parda	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1300	1302	4	2	evang‚lica	discorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	neutro	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda total	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total
SUDESTE	68	metropolitano	feminino	branca	m‚dio completo	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1800	1800	2	2	evang‚lica	discorda total	concorda total	discorda total	discorda total	neutro	concorda total	discorda total	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total	discorda total	concorda total	discorda total	concorda total	neutro	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total
SUDESTE	60	metropolitano	feminino	branca	fundamental completa	terceira s‚rie m‚dio incompleto	terceira s‚rie m‚dio incompleto	2000	2000	2	77	cat¢lica	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	concorda total	discorda total	discorda total	concorda parcial
SUDESTE	25	metropolitano	masculino	parda	cursou superior sem concluir	cursou superior sem concluir	cursou superior sem concluir	3500	3500	4	2	evang‚lica	discorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda total
SUDESTE	75	metropolitano	masculino	branca	sexta s‚rie fundamental	nÆo sabe	analfabeto ou sem instru‡Æo	680	680	2	2	cat¢lica	discorda total	concorda total	discorda total	discorda total	discorda total	concorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	discorda parcial	discorda total	discorda total	concorda total
SUDESTE	49	metropolitano	feminino	branca	quarta s‚rie fundamental completa	nÆo conheceu	quinta s‚rie fundamental	600	600	4	2	evang‚lica	discorda total	neutro	discorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial
SUDESTE	18	metropolitano	masculino	parda	m‚dio completo	terceira s‚rie m‚dio incompleto	terceira s‚rie m‚dio incompleto	680	700	6	1	evang‚lica	discorda total	discorda total	discorda total	discorda total	discorda total	concorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	discorda total	discorda total	discorda total
SUDESTE	62	metropolitano	feminino	branca	fundamental completa	quarta s‚rie fundamental completa	quarta s‚rie fundamental completa	1500	1500	3	2	cat¢lica	discorda total	neutro	discorda total	concorda parcial	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	discorda total	discorda total	discorda total	concorda parcial
NORDESTE	18	urbano	feminino	preta	sexta s‚rie fundamental	analfabeto ou sem instru‡Æo	quarta s‚rie fundamental completa		678	2	2	evang‚lica	discorda total	discorda total	concorda total	discorda total	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	discorda parcial	concorda parcial	concorda total	concorda parcial	discorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda parcial	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total
NORTE	35	urbano	feminino	parda	m‚dio completo	m‚dio completo	primeira s‚rie fundamental	600	600	6	1	evang‚lica	discorda total	discorda parcial	discorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	discorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda parcial	discorda total
NORTE	64	urbano	masculino	parda	quarta s‚rie fundamental completa	primeira s‚rie fundamental	quarta s‚rie fundamental completa	1400	1400	3	2	cat¢lica	discorda total	concorda total	concorda parcial	concorda total	discorda total	ns	discorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda parcial	concorda total
NORTE	29	urbano	feminino	parda	m‚dio completo	m‚dio completo	m‚dio completo	800	800	5	2	evang‚lica	discorda total	neutro	discorda total	concorda total	discorda total	concorda parcial	concorda parcial	concorda total	concorda total	discorda total	concorda parcial	concorda parcial	concorda parcial	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	ns	concorda parcial	discorda total	discorda total	discorda parcial	concorda total
NORTE	63	urbano	feminino	parda	quarta s‚rie fundamental incompleta	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	800	800	4	2	evang‚lica	concorda parcial	ns	discorda total	concorda total	discorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda parcial	neutro
NORTE	43	urbano	feminino	parda	fundamental completa	nÆo sabe	nÆo sabe	800	800	6	2	evang‚lica	discorda parcial	ns	discorda total	concorda parcial	discorda parcial	discorda parcial	discorda parcial	concorda total	concorda parcial	concorda parcial	concorda parcial	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	discorda total	concorda parcial	concorda parcial	concorda parcial	neutro	discorda total	discorda parcial	discorda parcial
NORDESTE	51	urbano	feminino	parda	quinta s‚rie fundamental	quarta s‚rie fundamental completa	analfabeto ou sem instru‡Æo	678	678	4	1	cat¢lica	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda parcial	concorda total	discorda total	concorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda parcial	discorda total	discorda parcial	concorda total	concorda total	discorda total	discorda total	concorda total	discorda total
NORDESTE	64	urbano	masculino	parda	quarta s‚rie fundamental completa	primeira s‚rie fundamental	primeira s‚rie fundamental			5	2	cat¢lica	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	concorda parcial	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda parcial	concorda total	discorda total	concorda total	neutro	discorda total	discorda total	concorda total
SUDESTE	18	metropolitano	feminino	parda	m‚dio completo	nÆo sabe	segunda s‚rie m‚dio	2500	2500	7	2	cat¢lica	discorda total	discorda total	discorda total	discorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda total	concorda total	discorda total	concorda total	discorda total	discorda total	discorda total	discorda total	discorda total
SUDESTE	47	metropolitano	feminino	branca	sexta s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1500	1500	4	2	cat¢lica	discorda total	neutro	discorda total	neutro	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	neutro	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total
SUDESTE	74	metropolitano	feminino	branca	quinta s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	1200	1200	3	2	cat¢lica	discorda total	concorda total	discorda total	concorda total	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	discorda parcial	concorda total	discorda parcial	discorda total	discorda total	discorda total	concorda total	concorda total
NORDESTE	21	urbano	feminino	parda	fundamental completa	nÆo sabe	nÆo sabe	800	800	3	2	cat¢lica	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	discorda total	discorda total	concorda total
SUDESTE	17	metropolitano	feminino	branca	primeira s‚rie m‚dio	primeira s‚rie m‚dio	oitava s‚rie fundamental incompleta	701	701	4	2	cat¢lica	discorda total	concorda total	discorda total	concorda parcial	concorda total	concorda parcial	discorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	concorda total	discorda total	discorda total	concorda parcial	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total
NORDESTE	78	urbano	feminino	preta	primeira s‚rie fundamental	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo	678	678	2	2	evang‚lica	discorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	concorda total	concorda total	concorda total	concorda total	concorda total	concorda parcial	discorda total	discorda total	discorda total	discorda total	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	concorda total	concorda total	concorda total	discorda total	concorda total
NORDESTE	53	urbano	feminino	parda	sexta s‚rie fundamental	terceira s‚rie fundamental	segunda s‚rie fundamental	678	678	1	2	evang‚lica	concorda parcial	discorda parcial	discorda total	discorda parcial	discorda total	discorda parcial	concorda parcial	discorda parcial	neutro	concorda parcial	discorda total	neutro	concorda total	discorda parcial	discorda parcial	discorda total	discorda parcial	discorda parcial	concorda parcial	concorda parcial	discorda parcial	concorda parcial	discorda total	concorda parcial	discorda parcial	discorda parcial	discorda parcial
SUDESTE	47	metropolitano	feminino	preta	m‚dio completo	nÆo respondeu	nÆo respondeu	1200	1200	4	2	cat¢lica	concorda total	concorda total	discorda total	concorda total	concorda total	concorda total	concorda total	neutro	discorda total	concorda total	discorda total	discorda total	neutro	concorda parcial	discorda total	concorda total	discorda total	concorda total	concorda parcial	concorda parcial	discorda total	concorda total	concorda total	concorda total	discorda total	discorda total	discorda total
NORDESTE	60	urbano	feminino	parda	fundamental completa	analfabeto ou sem instru‡Æo	analfabeto ou sem instru‡Æo			4	2	cat¢lica	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	concorda parcial	concorda total	concorda total	concorda parcial	concorda total	concorda parcial	concorda total	discorda total	concorda parcial	discorda total	discorda total	concorda total	concorda total	discorda total	concorda parcial	discorda total	concorda parcial	discorda total	concorda total	discorda total	concorda parcial	concorda total
